Common Name           ;Gl/GJ   ;Variable  ;Cst  ;Coordinates (J2000)  ;PMtot ;PosAng ;TrigPar  ;Error   ;Spec. Type   ;Apar. Mag  ;P/D;Comments
Epsilon Indi Ba       ;        ;CI Ind    ;Ind  ;22 04 10.5 -56 46 58 ; 4.82 ; 121.1 ; 275.44  ;  0.18  ; T 1   V     ; 24.12 V   ;   ;High dynamical mass: 75.0+-0.82 Mjup (Dieterich+ 2018)
Epsilon Indi Bb       ;        ;          ;Ind  ;22 04 10.5 -56 46 58 ; 4.82 ; 121.1 ; 275.44  ;  0.18  ; T 6   V     ; 13.23 J   ;   ;High dynamical mass: 70.1+-0.68 Mjup (Dieterich+ 2018)
Tau Ceti              ;71      ;          ;Cet  ;01 44 04.1 -15 56 15 ; 1.92 ; 296.4 ; 274.32  ;  0.16  ; G 8.5 V p   ;  3.50 V   ; y ;Possible massive planet in Kervella18
LHS 1565              ;1061    ;          ;Hor  ;03 36 00.0 -44 30 46 ; 0.81 ; 117.3 ; 272.246 ;  0.065 ; M 5   V     ; 13.04 V   ; y ;
Luyten 725-32         ;54.1    ;YZ Cet    ;Cet  ;01 12 30.6 -16 59 57 ; 1.37 ; 61.9  ; 269.363 ;  0.078 ; M 4   V     ; 12.06 V   ; y ;
Luyten's star         ;273     ;          ;CMi  ;07 27 24.5 +05 13 33 ; 3.74 ; 171.2 ; 266.24  ;  0.67  ; M 3.5 V     ;  9.83 V   ; y ;BD+5 1668
Teegarden's star      ;        ;          ;Ari  ;02 53 00.8 +16 52 53 ; 5.11 ; 138.2 ; 260.86  ;  0.24  ; M 6.5 V     ; 15.13 V   ; y ;SO J025300+165258
Kapteyn's star        ;191     ;VZ Pic    ;Pic  ;05 11 40.6 -45 01 06 ; 8.67 ; 131.4 ; 254.228 ;  0.026 ; M 2   VI    ;  8.84 V   ; y ;
Lacaille 8760         ;825     ;AX Mic    ;Mic  ;21 17 15.3 -38 52 03 ; 3.46 ; 250.6 ; 251.837 ;  0.056 ; K 9   V     ;  6.69 V   ; y ;Possible planet in Kervella18
SCR J1845-6357 A      ;        ;          ;Pav  ;18 45 02.6 -63 57 52 ; 2.66 ; 76.6  ; 249.98  ;  0.15  ; M 8.5 V     ; 17.40 V   ;   ;
SCR J1845-6357 B      ;        ;          ;Pav  ;18 45 02.6 -63 57 52 ; 2.66 ; 76.6  ; 249.98  ;  0.15  ; T 6   V     ; 13.29 J   ;   ;
Kruger 60 A           ;860 A   ;          ;Cep  ;22 27 59.5 +57 41 45 ; 0.99 ; 241.6 ; 249.41  ;  0.16  ; M 3.5 V     ;  9.61 V   ;   ;
Kruger 60 B           ;860 B   ;DO Cep    ;Cep  ;22 27 59.5 +57 41 45 ; 0.99 ; 241.6 ; 249.41  ;  0.16  ; M 4   V     ; 11.40 V   ;   ;
DENIS J1048-3956      ;        ;          ;Ant  ;10 48 14.7 -39 56 06 ; 1.52 ; 229.6 ; 247.33  ;  0.12  ; M 8.5 V     ; 17.53 V   ;   ;
UGPS J0722-0540       ;        ;          ;Mon  ;07 22 27.3 -05 40 30 ; 0.97 ; 291.3 ; 242.8   ;  2.4   ; T 9   V     ; 16.52 J   ;   ;
Ross 614 A            ;234 A   ;V577 Mon  ;Mon  ;06 29 23.4 -02 48 50 ; 0.93 ; 131.7 ; 242.04  ;  0.31  ; M 4.5 V     ; 11.10 V   ;   ;
Ross 614 B            ;234 B   ;          ;Mon  ;06 29 23.4 -02 48 50 ; 0.93 ; 131.7 ; 242.04  ;  0.31  ; M 5.5 V     ; 14.88 V   ;   ;
Wolf 424 A            ;473 A   ;FL Vir    ;Vir  ;12 33 17.4 +09 01 16 ; 1.81 ; 277.4 ; 232.9   ;  1.9   ; M 5.5 V     ; 13.25 V   ;   ;
Wolf 424 B            ;473 B   ;          ;Vir  ;12 33 17.4 +09 01 16 ; 1.81 ; 277.4 ; 232.9   ;  1.9   ; M 5.5 V     ; 13.93 V   ;   ;
Wolf 1061             ;628     ;V2306 Oph ;Oph  ;16 30 18.1 -12 39 45 ; 1.19 ; 184.5 ; 232.213 ;  0.063 ; M 3.5 V     ; 10.10 V   ; y ;
van Maanen 2          ;35      ;          ;Psc  ;00 49 09.9 +05 23 19 ; 2.98 ; 155.5 ; 231.738 ;  0.038 ; DZ 7.5      ; 12.36 V   ; y ;Wolf 28
CD-37 15492           ;1       ;          ;Scl  ;00 05 24.4 -37 21 27 ; 6.10 ; 112.5 ; 230.134 ;  0.060 ; M 1.5 V     ;  8.56 V   ;   ;
Luyten 1159-16        ;83.1    ;TZ Ari    ;Ari  ;02 00 13.2 +13 03 08 ; 2.10 ; 147.8 ; 223.60  ;  0.10  ; M 4   V     ; 12.28 V   ; y ;
CD-46 11540           ;674     ;          ;Ara  ;17 28 39.9 -46 53 43 ; 1.05 ; 146.9 ; 219.802 ;  0.049 ; M 2.5 V     ;  9.36 V   ; y ;
BD+68 946 AB?         ;687     ;          ;Dra  ;17 36 25.9 +68 20 21 ; 1.31 ; 194.2 ; 219.782 ;  0.032 ; M 3   V c?  ;  9.16 V c?; y ;WDS lists it as a 0.3" binary
LHS 292               ;3622    ;          ;Sex  ;10 48 12.6 -11 20 14 ; 1.64 ; 158.5 ; 218.96  ;  0.15  ; M 6.5 V     ; 15.78 V   ;   ;
LP 145-141            ;440     ;          ;Mus  ;11 45 42.9 -64 50 29 ; 2.69 ; 97.4  ; 215.738 ;  0.032 ; DQ 6        ; 11.49 V   ; y ;Possible planet in Kervella18
G 208-44 (Aa)         ;1245 A  ;V1581 Cyg ;Cyg  ;19 53 54.2 +44 24 55 ; 0.73 ; 143.1 ; 214.690 ;  0.080 ; M 6   V     ; 13.46 V   ;   ;
G 208-44 (Ab)         ;        ;          ;Cyg  ;19 53 54.2 +44 24 55 ; 0.73 ; 143.1 ; 214.690 ;  0.080 ; M 8   V     ; 16.75 V   ;   ;
G 208-45 (B)          ;1245 B  ;          ;Cyg  ;19 53 55.2 +44 24 56 ; 0.73 ; 143.1 ; 214.690 ;  0.080 ; M 6   V     ; 14.00 V   ;   ;
Ross 780              ;876     ;IL Aqr    ;Aqr  ;22 53 16.7 -14 15 49 ; 1.17 ; 125.1 ; 213.958 ;  0.071 ; M 3.5 V     ; 10.16 V   ; y ;BD-15 6290
WISE J1741+2553       ;        ;          ;Her  ;17 41 24.2 +25 53 19 ; 1.55 ; 198.6 ; 212.7   ;  2.7   ; T 9   V     ; 16.18 J   ;   ;
WISE J1639-6847       ;        ;          ;TrA  ;16 39 40.8 -68 47 39 ; 3.16 ; 169.3 ; 208.8   ;  2.0   ; Y 0   V p   ; 20.57 J   ;   ;
LHS 288               ;3618    ;          ;Car  ;10 44 31.8 -61 11 38 ; 1.66 ; 348.1 ; 206.840 ;  0.073 ; M 5.5 V     ; 13.90 V   ; y ;
G 158-27              ;1002    ;          ;Cet  ;00 06 43.8 -07 32 22 ; 2.04 ; 203.6 ; 206.22  ;  0.13  ; M 5   V     ; 13.76 V   ;   ;
Groombridge 1618      ;380     ;          ;UMa  ;10 11 22.1 +49 27 15 ; 1.45 ; 249.7 ; 205.393 ;  0.034 ; K 7   V     ;  6.60 V   ; y ;Dubious planet
DENIS J0255-4700      ;        ;          ;Eri  ;02 55 03.6 -47 00 51 ; 1.19 ; 117.5 ; 205.36  ;  0.17  ; L 7.5 V     ; 22.92 V   ;   ;
Lalande 21258 A       ;412 A   ;          ;UMa  ;11 05 28.6 +43 31 36 ; 4.51 ; 282.1 ; 204.11  ;  0.17  ; M 1   V     ;  8.74 V   ;   ;BD+44 2051
Lalande 21258 B       ;412 B   ;WX UMa    ;UMa  ;11 05 30.4 +43 31 18 ; 4.53 ; 281.9 ; 204.11  ;  0.17  ; M 6   V     ; 14.44 V   ;   ;
CD-49 13515           ;832     ;          ;Gru  ;21 33 34.0 -49 00 32 ; 0.82 ; 183.2 ; 201.408 ;  0.043 ; M 1.5 V     ;  8.67 V   ; y ;
BD+20 2465            ;388     ;AD Leo    ;Leo  ;10 19 36.4 +19 52 10 ; 0.51 ; 264.0 ; 201.370 ;  0.068 ; M 2.5 V     ;  9.42 V   ; y ;
Omicron-2 Eridani A   ;166 A   ;          ;Eri  ;04 15 16.3 -07 39 10 ; 4.09 ; 213.2 ; 200.05  ;  0.18  ; K 0.5 V     ;  4.42 V   ; y ;Keid, 40 Eridani
Omicron-2 Eridani B   ;166 B   ;          ;Eri  ;04 15 22.0 -07 39 35 ; 4.07 ; 212.4 ; 200.05  ;  0.18  ; DAP 3.1     ;  9.52 V   ;   ;
Omicron-2 Eridani C   ;166 C   ;DY Eri    ;Eri  ;04 15 22.0 -07 39 35 ; 4.07 ; 212.4 ; 200.05  ;  0.18  ; M 4   V     ; 11.18 V   ;   ;
CD-44 11909 A         ;682     ;          ;Sco  ;17 37 03.7 -44 19 09 ; 1.18 ; 217.1 ; 199.700 ;  0.083 ; M 3   V     ; 11.19 V   ; y ;ST based on MV, listed as Double by Winters+ 2019
CD-44 11909 B         ;        ;          ;Sco  ;17 37 03.7 -44 19 09 ; 1.18 ; 217.1 ; 199.700 ;  0.083 ; M 4   V     ; 12.94 V   ;   ;ST derived from MV
BD+43 4305            ;873     ;EV Lac    ;Lac  ;22 46 49.7 +44 20 02 ; 0.84 ; 236.9 ; 198.012 ;  0.038 ; M 3.5 V     ; 10.04 V   ;   ;
Altair                ;768     ;Alf Aql   ;Aql  ;19 50 47.0 +08 52 06 ; 0.66 ; 54.3  ; 195.40  ;  0.46  ; A 7   IV-V  ;  0.76 V   ;   ;Alpha Aquilae
70 Ophiuchi A         ;702 A   ;V2391 Oph ;Oph  ;18 05 27.3 +02 30 00 ; 0.97 ; 172.6 ; 195.240 ;  0.099 ; K 0   V     ;  4.08 V   ;   ;
70 Ophiuchi B         ;702 B   ;          ;Oph  ;18 05 27.3 +02 30 00 ; 0.97 ; 172.6 ; 195.240 ;  0.099 ; K 4   V     ;  6.16 V   ;   ;
LHS 2077              ;1116 B  ;          ;Cnc  ;08 58 14.9 +19 45 49 ; 0.87 ; 267.7 ; 194.81  ;  0.10  ; M 6   V     ; 14.92 V   ;   ;
LHS 2076              ;1116 A  ;EI Cnc    ;Cnc  ;08 58 14.9 +19 45 43 ; 0.87 ; 267.7 ; 194.81  ;  0.10  ; M 5.5 V     ; 14.06 V   ;   ;
WISE J1506+7027       ;        ;          ;UMi  ;15 06 49.9 +70 27 36 ; 1.62 ; 310.1 ; 193.55  ;  0.94  ; T 6   V     ; 13.56 J   ;   ;
G 99-49               ;3379    ;          ;Ori  ;06 00 03.6 +02 42 20 ; 0.24 ; 108.0 ; 192.068 ;  0.072 ; M 3.5 V     ; 11.31 V   ;   ;
DENIS J0817-6155      ;        ;          ;Car  ;08 17 30.1 -61 55 16 ; 1.15 ; 17.1  ; 191.53  ;  0.60  ; T 6   V     ; 13.61 J   ;   ;
AC+79 3888            ;445     ;          ;Cam  ;11 47 41.4 +78 41 28 ; 0.88 ; 57.1  ; 191.18  ;  0.38  ; M 3.5 V     ; 10.79 V   ;   ;
2MASS J0939-2448 AB?  ;        ;          ;Ant  ;09 39 35.5 -24 48 28 ; 1.19 ; 151.3 ; 188.9   ;  4.1   ; T 8   V c?  ; 15.98 J c?;   ;Double?
WISE J1540-5101       ;        ;          ;Nor  ;15 40 45.7 -51 01 39 ; 1.98 ; 99.7  ; 188.050 ;  0.094 ; M 7   V     ; 15.26 V   ;   ;
LHS 1723              ;3323    ;          ;Eri  ;05 01 57.0 -06 56 47 ; 0.79 ; 226.7 ; 186.89  ;  0.54  ; M 4   V     ; 12.22 V   ; y ;
Wolf 498              ;526     ;          ;Boo  ;13 45 43.8 +14 53 29 ; 2.30 ; 129.3 ; 184.73  ;  0.75  ; M 1   V     ;  8.46 V   ;   ;
Stein 2051 Aab?       ;169.1 A ;          ;Cam  ;04 31 11.8 +58 58 38 ; 2.43 ; 147.6 ; 181.14  ;  0.48  ; M 4   V c?  ; 11.04 V c?;   ;
Stein 2051 B          ;169.1 B ;          ;Cam  ;04 31 11.8 +58 58 38 ; 2.43 ; 147.6 ; 181.14  ;  0.48  ; DC 5        ; 12.43 V   ;   ;
Wolf 294              ;251     ;          ;Gem  ;06 54 49.0 +33 16 05 ; 0.83 ; 241.3 ; 179.67  ;  0.72  ; M 3   V     ; 10.02 V   ; y ;
2MASS J1114-2618      ;        ;          ;Hya  ;11 14 51.3 -26 18 24 ; 3.04 ; 262.7 ; 179.1   ;  1.4   ; T 7.5 V     ; 15.86 J   ;   ;
LP 816-60             ;        ;          ;Cap  ;20 52 33.0 -16 58 29 ; 0.31 ; 275.7 ; 178.124 ;  0.085 ; M 3.5 V     ; 11.46 V   ;   ;
Wolf 1453             ;205     ;          ;Ori  ;05 31 27.4 -03 40 38 ; 2.23 ; 160.0 ; 176.57  ;  0.71  ; M 1   V     ;  7.95 V   ; y ;
LSR J1835+3259        ;        ;          ;Lyr  ;18 35 37.9 +32 59 54 ; 0.76 ; 186.1 ; 176.57  ;  0.19  ; M 8.5 V     ; 18.27 V   ;   ;
2MASS J0415-0935      ;        ;          ;Eri  ;04 15 19.5 -09 35 07 ; 2.26 ; 76.5  ; 175.0   ;  1.4   ; T 8   V     ; 15.70 J   ;   ;
WISE J0350-5658       ;        ;          ;Ret  ;03 50 00.3 -56 58 30 ; 0.87 ; 188.2 ; 174.7   ;  2.4   ; Y 1   V     ; 22.14 J   ;   ;
Sigma Draconis        ;764     ;          ;Dra  ;19 32 21.6 +69 39 40 ; 1.84 ; 161.0 ; 173.78  ;  0.17  ; G 9   V     ;  4.67 V   ; y ;
HD 42581 A            ;229     ;          ;Lep  ;06 10 34.6 -21 51 53 ; 0.73 ; 190.9 ; 172.75  ;  0.28  ; M 1.5 V     ;  8.14 V   ; y ;
HD 42581 B            ;        ;          ;Lep  ;06 10 34.6 -21 51 53 ; 0.73 ; 190.9 ; 172.75  ;  0.28  ; T 6   V     ; 14.32 J   ;   ;
LHS 1047 A            ;1005    ;          ;Cet  ;00 15 28.1 -16 08 02 ; 0.96 ; 130.3 ; 172.7   ;  1.6   ; M 3.5 V     ; 11.60 V   ;   ;
LHS 1047 B            ;        ;          ;Cet  ;00 15 28.1 -16 08 02 ; 0.96 ; 130.3 ; 172.7   ;  1.6   ; M 5.5 V     ; 14.02 V   ;   ;
Ross 47               ;213     ;V1352 Ori ;Ori  ;05 42 09.3 +12 29 22 ; 2.54 ; 128.2 ; 171.23  ;  0.64  ; M 4   V     ; 11.57 V   ;   ;
LHS 60                ;754     ;          ;Tel  ;19 20 48.0 -45 33 27 ; 2.94 ; 167.3 ; 170.40  ;  0.58  ; M 4   V     ; 12.23 V   ; y ;
HD 131976 (A)         ;570 A   ;KX Lib    ;Lib  ;14 57 28.0 -21 24 56 ; 2.01 ; 149.1 ; 170.39  ;  0.62  ; K 4   V     ;  5.64 V   ;   ;
HD 131976 (Ba)        ;570 B   ;          ;Lib  ;14 57 26.5 -21 24 41 ; 1.94 ; 149.4 ; 170.39  ;  0.62  ; M 1.5 V     ;  8.30 V   ;   ;
HD 131976 (Bb)        ;        ;          ;Lib  ;14 57 26.5 -21 24 41 ; 1.94 ; 149.4 ; 170.39  ;  0.62  ; M 3   V     ;  9.96 V   ;   ;
2MASS J1457-2121 (C)  ;        ;          ;Lib  ;14 57 15.0 -21 21 50 ; 2.01 ; 149.1 ; 170.39  ;  0.62  ; T 7   V     ; 15.32 J   ;   ;
LHS 454               ;693     ;          ;Pav  ;17 46 34.2 -57 19 09 ; 1.76 ; 219.6 ; 169.86  ;  0.12  ; M 3   V     ; 10.76 V   ;   ;
Wolf 1055 (A)         ;752 A   ;V1428 Aql ;Aql  ;19 16 55.3 +05 10 08 ; 1.45 ; 203.5 ; 169.67  ;  0.19  ; M 2.5 V     ;  9.10 V   ; y ;new planet (2019)
van Biesbr. 10 (B)    ;752 B   ;V1298 Aql ;Aql  ;19 16 58.3 +05 09 01 ; 1.46 ; 203.1 ; 169.67  ;  0.19  ; M 8   V     ; 17.45 V   ;   ;planet retracted
WISE J1541-2250       ;        ;          ;Lib  ;15 41 51.6 -22 50 25 ; 0.90 ; 264.4 ; 169.6   ;  1.8   ; Y 1   V     ; 21.38 J   ;   ;
BD+1 4774             ;908     ;BR Psc    ;Psc  ;23 49 12.5 +02 24 04 ; 1.39 ; 134.2 ; 168.98  ;  0.36  ; M 1   V     ;  8.98 V   ;   ;
CD-40 9712            ;588     ;          ;Lup  ;15 32 12.9 -41 16 32 ; 1.56 ; 228.9 ; 168.72  ;  0.51  ; M 2.5 V     ;  9.31 V   ; y ;
Eta Cassiopeiae A     ;34 A    ;          ;Cas  ;00 49 06.3 +57 48 55 ; 1.22 ; 117.2 ; 168.30  ;  0.46  ; G 3   V     ;  3.46 V   ;   ;
Eta Cassiopeiae B     ;34 B    ;          ;Cas  ;00 49 06.3 +57 48 55 ; 1.22 ; 117.2 ; 168.30  ;  0.46  ; K 7   V     ;  7.21 V   ;   ;
36 Ophiuchi A         ;663 A   ;          ;Oph  ;17 15 21.0 -26 36 10 ; 1.24 ; 202.5 ; 168.12  ;  0.40  ; K 1   V     ;  5.07 V   ;   ;
36 Ophiuchi B         ;663 B   ;          ;Oph  ;17 15 21.0 -26 36 10 ; 1.24 ; 202.5 ; 168.12  ;  0.40  ; K 0   V     ;  5.08 V   ;   ;
36 Ophiuchi C         ;664     ;V2215 Oph ;Oph  ;17 16 13.4 -26 32 46 ; 1.22 ; 203.1 ; 168.12  ;  0.40  ; K 5   V     ;  6.32 V   ;   ;
Ross 882              ;285     ;YZ CMi    ;CMi  ;07 44 40.2 +03 33 09 ; 0.57 ; 217.4 ; 167.019 ;  0.059 ; M 4   V     ; 11.19 V   ;   ;
HD 191408 (A)         ;783 A   ;          ;Sgr  ;20 11 11.9 -36 06 04 ; 1.64 ; 163.8 ; 166.26  ;  0.27  ; K 2.5 V     ;  5.31 V   ;   ;
LHS 487 (B)           ;783 B   ;          ;Sgr  ;20 11 11.9 -36 06 04 ; 1.64 ; 163.8 ; 166.26  ;  0.27  ; M 4   V     ; 11.5  V   ;   ;
82 G. Eridani         ;139     ;          ;Eri  ;03 19 55.6 -43 04 11 ; 3.12 ; 76.6  ; 165.47  ;  0.19  ; G 8   V     ;  4.26 V   ; y ;
Ross 986 A            ;268     ;QY Aur    ;Aur  ;07 10 01.8 +38 31 46 ; 1.04 ; 204.9 ; 164.62  ;  0.13  ; M 4.5 V     ; 12.05 V   ;   ;
Ross 986 B            ;        ;          ;Aur  ;07 10 01.8 +38 31 46 ; 1.04 ; 204.9 ; 164.62  ;  0.13  ; M 5   V     ; 12.45 V   ;   ;
Delta Pavonis         ;780     ;          ;Pav  ;20 08 43.6 -66 10 55 ; 1.66 ; 133.0 ; 163.71  ;  0.17  ; G 8   IV    ;  3.55 V   ;   ;
2MASS J0937+2931      ;        ;          ;Leo  ;09 37 34.9 +29 31 41 ; 1.62 ; 143.1 ; 163.3   ;  1.6   ; T 6   V p   ; 14.65 J   ;   ;
WISE J0254+0223       ;        ;          ;Cet  ;02 54 07.9 +02 23 56 ; 2.55 ; 275.5 ; 162.6   ;  4.2   ; T 8   V     ; 16.14 J   ;   ;PSO J043.5395+02.3995
SIMP J0136+0933       ;        ;          ;Psc  ;01 36 56.6 +09 33 47 ; 1.24 ; 90.2  ; 162.09  ;  0.57  ; T 2.5 V     ; 13.46 J   ;   ;
HD 191849             ;784     ;          ;Tel  ;20 13 53.4 -45 09 50 ; 0.79 ; 101.6 ; 162.05  ;  0.45  ; M 0   V     ;  7.95 V   ; y ;
LHS 455               ;1221    ;          ;Dra  ;17 48 06.7 +70 52 29 ; 1.65 ; 311.0 ; 160.982 ;  0.014 ; DXP 9       ; 14.22 V   ;   ;
BD-11 3759            ;555     ;HN Lib    ;Lib  ;14 34 16.8 -12 31 10 ; 0.69 ; 329.0 ; 160.01  ;  0.74  ; M 4   V     ; 11.32 V   ; y ;
BD+19 5116 Aab        ;896 A   ;          ;Peg  ;23 31 52.2 +19 56 14 ; 0.56 ; 96.4  ; 159.9   ;  1.5   ; M 3.5 V c   ; 10.27 V c ;   ;Per= 4.083 d, MAa= >=0.271 MSun, MAb= >=0.218 MSun, (Cassy+, 2013)
BD+19 5116 Bab        ;896 B   ;EQ Peg    ;Peg  ;23 31 52.2 +19 56 14 ; 0.56 ; 96.4  ; 159.9   ;  1.5   ; M 4.5 V c   ; 12.21 V c ;   ;Per= 1.795 d, MBa= 0.29: MSun, MBb= >=0.056 MSun, (Cassy+, 2013)
HD 79210 Aab?         ;338 A   ;          ;UMa  ;09 14 22.8 +52 41 12 ; 1.63 ; 249.8 ; 158.99  ;  0.38  ; K 9   V c?  ;  7.64 V c?;   ;
HD 79211              ;338 B   ;          ;UMa  ;09 14 24.7 +52 41 11 ; 1.68 ; 247.1 ; 158.99  ;  0.38  ; K 9   V     ;  7.70 V   ; y ;
Wolf 562              ;581     ;HO lib    ;Lib  ;15 19 26.8 -07 43 20 ; 1.23 ; 265.4 ; 158.78  ;  0.33  ; M 3   V     ; 10.57 V   ; y ;
2MASS J1503+2525      ;        ;          ;Boo  ;15 03 19.6 +25 25 20 ; 0.55 ; 8.2   ; 157.2   ;  2.2   ; T 6   V     ; 13.94 J   ;   ;
